name,handedness,height,weight,avg,HR,BMI,Class,,,,,BMI Limits,
Reggie Jackson,L,72,195,0.262,563,26.51909722,Hefty,,,,,Hefty,24
Mike Schmidt,R,74,195,0.267,548,25.10500365,Hefty,,,,,Compact,22.5
Willie Stargell,L,74,188,0.282,475,24.20379839,Hefty,,,,,,
Carl Yastrzemski,L,71,175,0.285,452,24.47431065,Hefty,,,,,,
Dave Kingman,R,78,210,0.236,442,24.33431953,Hefty,,,,,,
Darrell Evans,L,74,200,0.248,414,25.74872169,Hefty,,,,,,
Graig Nettles,L,72,180,0.248,390,24.47916667,Hefty,,,,,,
Johnny Bench,R,73,197,0.267,389,26.06211297,Hefty,,,,,,
Jim Rice,R,74,200,0.298,382,25.74872169,Hefty,,,,,,
Tony Perez,R,74,175,0.279,379,22.53013148,Compact,,,,,,
Lee May,R,75,195,0.267,354,24.44,Hefty,,,,,,
Dick Allen,R,71,187,0.292,351,26.1525491,Hefty,,,,,,
George Foster,R,73,180,0.274,348,23.81309814,Compact,,,,,,
Ron Santo,R,72,190,0.277,342,25.83912037,Hefty,,,,,,
Boog Powell,L,76,230,0.266,339,28.07306094,Hefty,,,,,,
Don Baylor,R,73,190,0.26,338,25.13604804,Hefty,,,,,,
Bobby Bonds,R,73,190,0.268,332,25.13604804,Hefty,,,,,,
Willie Horton,R,71,209,0.273,325,29.22931958,Hefty,,,,,,
Ron Cey,R,70,185,0.261,316,26.61734694,Hefty,,,,,,
Reggie Smith,B,72,180,0.287,314,24.47916667,Hefty,,,,,,
Greg Luzinski,R,73,220,0.276,307,29.10489773,Hefty,,,,,,
Fred Lynn,L,73,185,0.283,306,24.47457309,Hefty,,,,,,
Rusty Staub,L,74,190,0.279,292,24.46128561,Hefty,,,,,,
Jimmy Wynn,R,70,160,0.25,291,23.02040816,Compact,,,,,,
Steve Garvey,R,70,192,0.294,272,27.6244898,Hefty,,,,,,
George Scott,R,74,200,0.268,271,25.74872169,Hefty,,,,,,
Gorman Thomas,R,74,210,0.225,268,27.03615778,Hefty,,,,,,
Joe Morgan,L,67,160,0.271,268,25.12809089,Hefty,,,,,,
George Hendrick,R,75,195,0.278,267,24.44,Hefty,,,,,,
Larry Parrish,R,75,190,0.263,256,23.81333333,Compact,,,,,,
John Mayberry,L,75,215,0.253,255,26.94666667,Hefty,,,,,,
Andre Thornton,R,75,200,0.254,253,25.06666667,Hefty,,,,,,
Bobby Murcer,L,71,160,0.277,252,22.3765126,Lanky,,,,,,
Joe Torre,R,74,212,0.297,252,27.293645,Hefty,,,,,,
Tony Armas,R,71,182,0.252,251,25.45328308,Hefty,,,,,,
Ted Simmons,B,71,193,0.285,248,26.99166832,Hefty,,,,,,
Ken Singleton,B,76,210,0.282,246,25.63192521,Hefty,,,,,,
Deron Johnson,R,74,200,0.244,245,25.74872169,Hefty,,,,,,
Sal Bando,R,72,195,0.254,242,26.51909722,Hefty,,,,,,
Dusty Baker,R,74,183,0.278,242,23.56008035,Compact,,,,,,
Rick Monday,L,75,193,0.264,241,24.18933333,Hefty,,,,,,
Cecil Cooper,L,74,165,0.298,241,21.2426954,Lanky,,,,,,
Jeff Burroughs,R,73,200,0.261,240,26.45899794,Hefty,,,,,,
Doug DeCinces,R,74,190,0.259,237,24.46128561,Hefty,,,,,,
Ben Oglivie,L,74,160,0.273,235,20.59897736,Lanky,,,,,,
Gary Matthews,R,74,185,0.281,234,23.81756757,Compact,,,,,,
Bobby Grich,R,74,180,0.266,224,23.17384953,Compact,,,,,,
Tony Oliva,L,73,175,0.304,220,23.15162319,Compact,,,,,,
Al Oliver,L,72,195,0.303,219,26.51909722,Hefty,,,,,,
Joe Pepitone,L,74,185,0.258,219,23.81756757,Compact,,,,,,
Bob Horner,R,73,195,0.277,218,25.79752299,Hefty,,,,,,
Chet Lemon,R,72,190,0.273,215,25.83912037,Hefty,,,,,,
Rico Petrocelli,R,72,175,0.251,210,23.79918981,Compact,,,,,,
Jason Thompson,L,76,200,0.261,208,24.41135734,Hefty,,,,,,
Richie Zisk,R,73,200,0.287,207,26.45899794,Hefty,,,,,,
Rico Carty,R,75,200,0.299,204,25.06666667,Hefty,,,,,,
Richie Hebner,L,73,195,0.276,203,25.79752299,Hefty,,,,,,
Buddy Bell,R,73,180,0.279,201,23.81309814,Compact,,,,,,
Gene Tenace,R,72,190,0.241,201,25.83912037,Hefty,,,,,,
Oscar Gamble,L,71,160,0.265,200,22.3765126,Lanky,,,,,,
Don Mincher,L,75,205,0.249,200,25.69333333,Hefty,,,,,,
Bill Freehan,R,75,203,0.262,200,25.44266667,Hefty,,,,,,
Cesar Cedeno,R,74,175,0.285,199,22.53013148,Compact,,,,,,
Dick McAuliffe,L,71,176,0.247,197,24.61416386,Hefty,,,,,,
Cliff Johnson,R,76,215,0.258,196,26.24220914,Hefty,,,,,,
Toby Harrah,R,72,175,0.264,195,23.79918981,Compact,,,,,,
Amos Otis,R,71,165,0.277,193,23.07577862,Compact,,,,,,
Hal McRae,R,71,180,0.29,191,25.17357667,Hefty,,,,,,
Bob Bailey,R,73,180,0.257,189,23.81309814,Compact,,,,,,
Darrell Porter,L,72,193,0.247,188,26.24710648,Hefty,,,,,,
Chris Chambliss,L,73,195,0.279,185,25.79752299,Hefty,,,,,,
Bob Watson,R,72,201,0.295,184,27.33506944,Hefty,,,,,,
Willie Davis,L,74,180,0.279,182,23.17384953,Compact,,,,,,
Joe Rudi,R,74,200,0.264,179,25.74872169,Hefty,,,,,,
Don Money,R,73,170,0.261,176,22.49014825,Lanky,,,,,,
Bill Buckner,L,72,185,0.289,174,25.15914352,Hefty,,,,,,
Nate Colbert,R,74,190,0.243,173,24.46128561,Hefty,,,,,,
Jim Ray Hart,R,71,185,0.278,170,25.87284269,Hefty,,,,,,
Bill Robinson,R,74,189,0.258,166,24.332542,Hefty,,,,,,
Larry Hisle,R,74,193,0.273,166,24.84751644,Hefty,,,,,,
Dwayne Murphy,L,73,185,0.246,166,24.47457309,Hefty,,,,,,
Tony Conigliaro,R,75,185,0.264,166,23.18666667,Compact,,,,,,
Jose Cruz,L,72,170,0.284,165,23.11921296,Compact,,,,,,
Claudell Washington,L,72,190,0.278,164,25.83912037,Hefty,,,,,,
Roy Smalley,B,73,185,0.257,163,24.47457309,Hefty,,,,,,
Bill Madlock,R,71,180,0.305,163,25.17357667,Hefty,,,,,,
Keith Hernandez,L,72,180,0.296,162,24.47916667,Hefty,,,,,,
Pete Rose,B,71,192,0.303,160,26.85181512,Hefty,,,,,,
Frank White,R,71,165,0.255,160,23.07577862,Compact,,,,,,
Bill Melton,R,74,200,0.253,160,25.74872169,Hefty,,,,,,
Roy White,B,70,160,0.271,160,23.02040816,Compact,,,,,,
